spotify_uri,artist_names,track_name,year,spotify_chart,tiktok_chart,spotify_chart_pos,spotify_chart_weeks,tiktok_track_pop,tiktok_artist_pop,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo_bpm,duration_ms
spotify:track:3rdAz1fbUfZxYgaCviYhRo,Rauw Alejandro,Todo De Ti,2022,TRUE,TRUE,2,44,85,88,0.78,0.719,-3.613,0.0506,0.302,0.000196,0.0931,127.962,199604
spotify:track:28L7oHDO10j6MbkTXOqPLy,"Rebecca Black, 3OH!3, Big Freedia, Dorian Electra",Friday - Hyperpop Remix,2022,FALSE,TRUE,NULL,NULL,83,69,0.824,0.862,-3.424,0.126,0.0076,0.303,0.801,122.98,164819
spotify:track:0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box,2020,FALSE,TRUE,NULL,NULL,81,80,0.896,0.586,-6.687,0.0559,0.104,0.79,0.642,116.971,164782
spotify:track:76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,2022,FALSE,TRUE,NULL,NULL,89,75,0.563,0.639,-8.205,0.0684,0.107,0.446,0.518,169.985,240400
spotify:track:5ildQOEKmJuWGl2vRkFdYc,ROSALIA,DESPECHA,2022,TRUE,FALSE,6,2,NULL,NULL,0.919,0.623,-6.521,0.0992,0.184,1.63E-05,0.0609,130.037,157018
spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,2017,FALSE,TRUE,NULL,NULL,90,77,0.609,0.692,-2.958,0.0259,0.0157,0.0864,0.454,116.959,200040
spotify:track:4slSrbTK1sNK4I1mDYEthf,"S1mba, DTG",Rover,2021,FALSE,TRUE,NULL,NULL,79,54,0.613,0.624,-6.66,0.206,0.496,0.283,0.803,62.948,173333
spotify:track:7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,There's Nothing Holdin' Me Back,2016,TRUE,FALSE,5,72,NULL,NULL,0.866,0.813,-4.063,0.0554,0.38,0,0.0779,121.998,199440
spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Senorita,2020,TRUE,FALSE,1,138,NULL,NULL,0.759,0.548,-6.049,0.029,0.0392,0,0.0828,116.967,190800
spotify:track:4QtiVmuA88tPQiCOHZuQ5b,"Sofia Reyes, Jason Derulo",123,2018,FALSE,TRUE,NULL,NULL,82,71,0.792,0.895,-3.112,0.0589,0.165,0.0501,0.794,94.968,232067
spotify:track:0T5iIrXA4p5GsubkhuBIKV,Stephen Sanches,Until I Found You,2021,FALSE,TRUE,NULL,NULL,90,74,0.539,0.508,-6.05,0.0288,0.727,0.174,0.227,101.358,177720
spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,Steve Lacy,Bad Habit,2022,FALSE,TRUE,NULL,NULL,86,83,0.686,0.494,-7.093,0.0355,0.613,0.402,0.7,168.946,173948
spotify:track:0j3mqDTK4Z6lvrLzFCUUz6,Suki Waterhouse,Good Looking,2020,FALSE,TRUE,NULL,NULL,80,67,0.377,0.558,-9.076,0.0299,0.0789,0.125,0.267,149.971,201526
spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,2015,FALSE,TRUE,NULL,NULL,85,69,0.345,0.941,-9.918,0.0466,3.84E-05,0.0511,0.407,179.626,244360
spotify:track:1Cv1YLb4q0RzL6pybtaMLo,Surfaces,Sunday Best,2019,FALSE,TRUE,NULL,NULL,76,71,0.878,0.525,-6.832,0.0578,0.183,0.0714,0.694,112.022,204764
spotify:track:2gpWyfu7eZ01zzncHpxOtA,"Swedish House Mafia, The Weeknd",Moth To A Flame,2022,TRUE,FALSE,7,22,NULL,NULL,0.542,0.659,-7.289,0.0389,0.00279,0,0.105,120.122,234000
spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,2022,FALSE,TRUE,NULL,NULL,81,82,0.436,0.655,-8.37,0.0583,0.499,0.688,0.412,121.002,147062
spotify:track:2aJnyNu4PQxQ2lyj5boiMG,SZA,I Hate U,2022,FALSE,TRUE,NULL,NULL,80,82,0.535,0.388,-9.805,0.155,0.507,0.11,0.412,106.703,199604
spotify:track:6K4t31amVTZDgR3sKmwUJJ,Tame Impala,The Less I Know the Better,2015,FALSE,TRUE,NULL,NULL,84,78,0.64,0.74,-4.083,0.0284,0.0115,0.167,0.785,116.879,173381
spotify:track:5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),2021,TRUE,FALSE,1,19,NULL,NULL,0.631,0.518,-8.771,0.0303,0.274,0,0.088,93.023,613027
spotify:track:07MDkzWARZaLEdKxo6yArG,"The Anxiety, WILLOW",Meet Me At Our Spot,2021,FALSE,TRUE,NULL,NULL,81,65,0.773,0.47,-7.93,0.0299,0.0153,0.0851,0.399,94.995,198082
spotify:track:6RUKPb4LETWmmr3iAEQktW,"The Chainsmokers, Coldplay",Something Just Like This,2017,TRUE,FALSE,2,172,NULL,NULL,0.617,0.635,-6.769,0.0317,0.0498,1.44E-05,0.164,103.019,247160
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",Closer,2016,TRUE,FALSE,2,179,NULL,NULL,0.748,0.524,-5.599,0.0338,0.414,0,0.111,95.01,244960
spotify:track:3EEd6ldsPat620GVYMEhOP,The Cramps,Goo Goo Muck,1982,TRUE,TRUE,8,15,86,78,0.869,0.694,-3.35,0.0783,0.356,0.00125,0.0878,90.02,224997
spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,The Kid LAROI,Thousand Miles,2022,FALSE,TRUE,NULL,NULL,84,80,0.376,0.657,-4.658,0.0768,0.0858,0.0884,0.203,80.565,172627
spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),2022,TRUE,TRUE,1,37,89,80,0.591,0.764,-5.484,0.0483,0.0383,0,0.103,169.928,141806
spotify:track:1EHUQesfVKwbthtNcpBi9g,"The Kid LAROI, Miley Cyrus",Without You,2021,FALSE,TRUE,NULL,NULL,83,80,0.662,0.413,-7.357,0.0299,0.213,0.134,0.467,93.005,206071
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,2013,FALSE,TRUE,NULL,NULL,90,82,0.612,0.807,-2.81,0.0336,0.0495,0.101,0.398,124.053,184448
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,2020,TRUE,TRUE,1,121,93,90,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,171.005,200040
spotify:track:09mEdoA6zrmBPgTEN5qXmN,The Weeknd,Call Out My Name,2018,TRUE,FALSE,1,42,NULL,NULL,0.461,0.593,-4.954,0.0356,0.17,0,0.307,134.17,228373
spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,2020,TRUE,FALSE,2,68,NULL,NULL,0.68,0.826,-5.487,0.0309,0.0212,1.24E-05,0.543,118.051,215627
spotify:track:1nH2PkJL1XoUq8oE6tBZoU,The Weeknd,Sacrifice,2022,TRUE,FALSE,3,11,NULL,NULL,0.735,0.795,-6.523,0.113,0.0296,3.18E-05,0.0678,122,188918
spotify:track:6M3PsepEj5gyJoIi7Xvr7u,The Weeknd,Take My Breath - Single Version,2022,TRUE,FALSE,7,21,NULL,NULL,0.747,0.739,-6.008,0.0487,0.0106,2.22E-05,0.101,120.996,220196
spotify:track:7szuecWAPwGoV1e5vGu8tl,The Weeknd,In Your Eyes,2020,FALSE,TRUE,NULL,NULL,79,90,0.667,0.719,-5.371,0.0346,0.00285,0.0736,0.717,100.021,218107
spotify:track:1oFAF1hdPOickyHgbuRjyX,"The Weeknd, Ariana Grande",Save Your Tears (Remix with Ariana Grande) - Bonus Track,2020,TRUE,FALSE,5,48,NULL,NULL,0.65,0.825,-4.645,0.0325,0.0215,2.44E-05,0.0936,118.091,191014
spotify:track:37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (Remix),2020,TRUE,FALSE,5,39,NULL,NULL,0.65,0.825,-4.645,0.0325,0.0215,2.44E-05,0.0936,118.091,191014
spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,2018,TRUE,FALSE,1,97,NULL,NULL,0.679,0.587,-7.015,0.276,0.141,6.35E-06,0.137,186.003,230453
spotify:track:64rqvMhAPLLEag310IG3z9,The Wombats,Greek Tragedy - Oliver Nelson Remix,2015,FALSE,TRUE,NULL,NULL,77,63,0.767,0.481,-8.52,0.0803,0.234,0.269,0.761,150.076,237893
spotify:track:18asYwWugKjjsihZ0YvRxO,"Tiesto, Ava Max",The Motto,2021,FALSE,TRUE,NULL,NULL,87,83,0.754,0.763,-4.627,0.0435,0.0301,0.0901,0.464,117.953,141806
spotify:track:6f3Slt0GbA2bPZlz0aIFXN,"Tiesto, Ty Dolla $ign",The Business,2022,FALSE,TRUE,NULL,NULL,83,83,0.798,0.62,-7.079,0.232,0.414,0.112,0.235,120.031,177525
spotify:track:7otCGmgp9h4CsR2LhwB6gt,Tom Odell,Another Love,2013,FALSE,TRUE,NULL,NULL,89,73,0.445,0.537,-8.532,0.04,0.695,0.0944,0.131,122.769,238805
spotify:track:2N8m6CYs74qQO4mjVcXO30,Tones And I,Dance Monkey,2019,TRUE,TRUE,1,140,79,74,0.824,0.587,-6.401,0.0937,0.69,0.000105,0.149,98.029,209438
spotify:track:6gi6y1xwmVszDWkUqab1qw,"Travis Scott, Young Thug",Out West,2019,FALSE,TRUE,NULL,NULL,76,75,0.802,0.591,-4.895,0.225,0.0104,0.196,0.309,139.864,173711
spotify:track:0y60itmpH0aPKsFiGxmtnh,WILLOW,Wait a Minute!,2022,FALSE,TRUE,NULL,NULL,86,80,0.764,0.705,-5.279,0.0278,0.0371,0.0943,0.672,101.003,179551
spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,2017,TRUE,FALSE,7,216,NULL,NULL,0.872,0.391,-9.144,0.242,0.469,4.13E-06,0.297,134.021,119133
spotify:track:476JcJ3TpAuCOlGdCmomGm,Yael Naim,New Soul,2007,FALSE,TRUE,NULL,NULL,76,72,0.601,0.703,-6.24,0.0379,0.175,0.571,0.673,106.164,185857
spotify:track:4cacyP5c3PMlfnyjpg13xW,Yung Gravy,Betty (Get Money),2022,FALSE,TRUE,NULL,NULL,87,75,0.723,0.772,-6.784,0.0792,0.00524,0.367,0.58,102.004,233720
